# Constructed from biom file
#OTU ID,S8.128.H2O.S8,S14.131.H2O.S14,S18.134.H2O.S18,S24.137.H2O.S24,S29.140.H2O.S29,S10.158.H2O.S10,S21.161.H2O.S21,S28.164.H2O.S28,S30.167.H2O.S30,S32.170.H2O.S32
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,19.0,238.0,18.0,19.0,10.0,27.0,28.0,10.0,18.0,16.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae,250.0,86.0,0.0,62.0,29.0,23.0,24.0,94.0,186.0,135.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,31.0,17.0,0.0,12.0,11.0,0.0,4.0,0.0,13.0,18.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20,110.0,13.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae,0.0,10.0,0.0,36.0,0.0,0.0,13.0,0.0,0.0,18.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family,0.0,143.0,0.0,0.0,0.0,7.0,21.0,23.0,22.0,36.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,24.0,152.0,14.0,48.0,10.0,12.0,193.0,15.0,20.0,73.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae,163.0,147.0,11.0,136.0,0.0,8.0,35.0,156.0,70.0,132.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,142.0,72.0,0.0,149.0,14.0,83.0,1309.0,926.0,39.0,587.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae,11.0,474.0,0.0,8.0,4.0,29.0,24.0,14.0,30.0,50.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,0.0,80.0,13.0,0.0,73.0,0.0,30.0,65.0,106.0,34.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__uncultured;f__uncultured,14.0,0.0,0.0,28.0,0.0,0.0,8.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,96.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__cvE6,0.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae,12.0,335.0,5.0,64.0,0.0,24.0,15.0,31.0,0.0,25.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae,0.0,104.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae,0.0,48.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae,15.0,61.0,0.0,0.0,14.0,28.0,20.0,0.0,0.0,17.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae,97.0,5.0,0.0,0.0,0.0,37.0,0.0,0.0,2.0,23.0
