# Constructed from biom file
#OTU ID,S8.127.H2O.S8,S14.130.H2O.S14,S18.133.H2O.S18,S24.136.H2O.S24,S29.139.H2O.S29,S11.187.H2O.S11,S15.190.H2O.S15,S22.193.H2O.S22,S25.196.H2O.S25,S31.199.H2O.S31
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,30.0,41.0,20.0,53.0,93.0,48.0,59.0,38.0,42.0,83.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis,33.0,27.0,0.0,9.0,104.0,58.0,14.0,86.0,92.0,97.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,0.0,12.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_III,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__,0.0,55.0,0.0,0.0,33.0,0.0,88.0,29.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,96.0,1.0,38.0,67.0,22.0,90.0,0.0,11.0,160.0,150.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,1174.0,455.0,493.0,512.0,639.0,436.0,387.0,474.0,1030.0,1075.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,783.0,755.0,772.0,577.0,1159.0,1064.0,1214.0,763.0,1501.0,1085.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__MWH-UniP1_aquatic_group,0.0,3.0,0.0,0.0,0.0,0.0,35.0,11.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae,808.0,173.0,544.0,896.0,141.0,852.0,369.0,281.0,1454.0,1522.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae,0.0,6.0,0.0,0.0,0.0,0.0,84.0,33.0,3.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,37.0,20.0,49.0,13.0,11.0,35.0,26.0,75.0,66.0,35.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae,640.0,21.0,76.0,549.0,0.0,151.0,90.0,61.0,500.0,135.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,0.0,23.0,0.0,0.0,0.0,0.0,61.0,24.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae,0.0,0.0,23.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family,32.0,96.0,0.0,12.0,33.0,124.0,183.0,132.0,11.0,73.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,0.0,12.0,12.0,11.0,10.0,38.0,11.0,184.0,203.0,134.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae,1063.0,86.0,375.0,1516.0,47.0,1718.0,492.0,145.0,876.0,1343.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,127.0,0.0,0.0,7.0,0.0,181.0,12.0,35.0,581.0,132.0
